isolate_id,sequence_type,country,source,year,lineage,amr_count,run_accession,plot_label,original_tree_tip
ERR9692774,335,South Africa,,2020,5,11,ERR9692774,ERR9692774,ERR9692774
ERR6805998,335,South Africa,,2020,5,11,ERR6805998,ERR6805998,ERR6805998
ERR6806833,335,South Africa,,2020,5,11,ERR6806833,ERR6806833,ERR6806833
ERR6806749,335,South Africa,,2021,5,11,ERR6806749,ERR6806749,ERR6806749
ERR6806776,335,South Africa,,2021,5,11,ERR6806776,ERR6806776,ERR6806776
ERR5750995,335,South Africa,,2020,5,11,ERR5750995,ERR5750995,ERR5750995
ERR6806255,335,South Africa,,2021,5,11,ERR6806255,ERR6806255,ERR6806255
ERR6805990,335,South Africa,,2020,5,10,ERR6805990,ERR6805990,ERR6805990
ERR11747325,335,South Africa,,2023,5,13,ERR11747325,ERR11747325,ERR11747325
ERR11502778,335,South Africa,,2023,5,13,ERR11502778,ERR11502778,ERR11502778
ERR7197834,335,South Africa,,2021,5,11,ERR7197834,ERR7197834,ERR7197834
ERR9079758,335,South Africa,,2021,5,12,ERR9079758,ERR9079758,ERR9079758
ERR12321281,335,South Africa,,2023,5,13,ERR12321281,ERR12321281,ERR12321281
ERR12142634,335,South Africa,,2023,5,13,ERR12142634,ERR12142634,ERR12142634
ERR12067314,335,South Africa,,2023,5,11,ERR12067314,ERR12067314,ERR12067314
ERR12321282,335,South Africa,,2023,5,11,ERR12321282,ERR12321282,ERR12321282
ERR12080226,335,South Africa,,2023,5,5,ERR12080226,ERR12080226,ERR12080226
ERR12321283,335,South Africa,,2023,5,11,ERR12321283,ERR12321283,ERR12321283
ERR6753111,335,South Africa,,2020,5,11,ERR6753111,ERR6753111,ERR6753111
ERR6806796,335,South Africa,,2020,5,10,ERR6806796,ERR6806796,ERR6806796
ERR6806789,335,South Africa,,2021,5,11,ERR6806789,ERR6806789,ERR6806789
ERR9971918,335,South Africa,,2021,5,11,ERR9971918,ERR9971918,ERR9971918
ERR7197741,335,South Africa,,2021,5,9,ERR7197741,ERR7197741,ERR7197741
ERR5751808,335,South Africa,,2020,5,9,ERR5751808,ERR5751808,ERR5751808
ERR10438737,335,Mozambique,,2020,5,9,ERR10438737,ERR10438737,ERR10438737
CLL6CH,335,Malawi,QECH clinical isolate,2022,5,10,ERR16714722,CLL6CH | ERR16714722,CLL6CH_S17_L001
CAARE3,335,Malawi,QECH clinical isolate,2019,5,10,ERR16714677,CAARE3 | ERR16714677,CAARE3_S13_L001
CAAQXB,335,Malawi,QECH clinical isolate,2019,5,10,ERR16714675,CAAQXB | ERR16714675,CAAQXB_S13_L001
CAAR9T,335,Malawi,QECH clinical isolate,2019,5,10,ERR16714676,CAAR9T | ERR16714676,CAAR9T_S6_L001
CAAQUT,335,Malawi,QECH clinical isolate,2018,5,10,ERR16714674,CAAQUT | ERR16714674,CAAQUT_S12_L001
CNSFP4,335,Malawi,QECH clinical isolate,2022,5,9,ERR16714728,CNSFP4 | ERR16714728,CNSFP4_S1_L001
CNSDXZ,335,Malawi,QECH clinical isolate,2021,5,10,ERR16714727,CNSDXZ | ERR16714727,CNSDXZ_S1_L001
CAAP2A,335,Malawi,QECH clinical isolate,2019,5,10,ERR16714672,CAAP2A | ERR16714672,CAAP2A_S14_L001
44341_3_268,335,Malawi,Malawi water sample,2020,5,10,ERR16714660,44341_3_268 | ERR16714660,44341_3_268
44341_3_280,335,Malawi,Malawi water sample,2020,5,10,ERR16714661,44341_3_280 | ERR16714661,44341_3_280
44341_3_262,335,Malawi,Malawi water sample,2020,5,10,ERR16714658,44341_3_262 | ERR16714658,44341_3_262
44341_3_265,335,Malawi,Malawi water sample,2020,5,10,ERR16714659,44341_3_265 | ERR16714659,44341_3_265
44341_4_286,335,Malawi,Malawi water sample,2020,5,10,ERR16714668,44341_4_286 | ERR16714668,44341_4_286
CAAYDF,335,Malawi,QECH clinical isolate,2020,5,10,ERR16714681,CAAYDF | ERR16714681,CAAYDF_S3_L001
CLL3JA,335,Malawi,QECH clinical isolate,2020,5,10,ERR16714721,CLL3JA | ERR16714721,CLL3JA_S28_L001
ERR9941258,335,South Africa,,2022,5,10,ERR9941258,ERR9941258,ERR9941258
CNSLL4,335,Malawi,QECH clinical isolate,2022,5,9,ERR16714730,CNSLL4 | ERR16714730,CNSLL4_S20_L001
CNSKFP,335,Malawi,QECH clinical isolate,2022,5,9,ERR16714729,CNSKFP | ERR16714729,CNSKFP_S19_L001
