isolate_id,run_accession,XDR_genomic_profile,genomic_determinants
ERR12142634,ERR12142634,1,blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); mph(E); msr(E); tet(A); sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; armA; blaNDM-1; arr-2; ble
ERR6753111,ERR6753111,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR6806796,ERR6806796,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR6806789,ERR6806789,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9971918,ERR9971918,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR7197741,ERR7197741,1,blaOXA-1; floR; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
ERR5751808,ERR5751808,1,blaOXA-1; floR; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
ERR12321280,ERR12321280,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9692774,ERR9692774,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR6752863,ERR6752863,1,blaOXA-1; floR; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
SRR9273829,SRR9273829,0,blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; tet(A); sul1; sul2; aac(3)-IIe; aadA1; aph(3'')-Ib; aph(6)-Id; qacEdelta1
ERR9079830,ERR9079830,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-II; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10880116,ERR10880116,1,blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR5751304,ERR5751304,1,blaOXA-1; floR; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
ERR6806714,ERR6806714,1,blaTEM-1; blaOXA-10; cmlA5; floR; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR5751296,ERR5751296,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR4451427,ERR4451427,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR6806125,ERR6806125,1,blaOXA-1; blaOXA-10; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR6806317,ERR6806317,0,blaTEM-1; catA1; floR; dfrA14; blaCTX-M-15; mph(A); tet(A); sul2; aadA1; aph(3'')-Ib; aph(6)-Id
ERR12067371,ERR12067371,1,blaTEM-1; blaOXA-1; blaOXA-10; catA1; cmlA5; floR; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR6806075,ERR6806075,0,blaTEM-1; blaCTX-M-15; gyrB_S464F; tet(A); sul2; aac(3)-IIe; aph(3'')-Ib; aph(6)-Id
ERR10176870,ERR10176870,0,blaTEM-1; blaOXA-1; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
ERR10460856,ERR10460856,0,blaTEM-1; blaOXA-1; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
ERR10460902,ERR10460902,0,blaTEM-1; blaOXA-1; dfrA14; blaCTX-M-15; qnrB1; mph(A); tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
ERR6806726,ERR6806726,0,blaTEM-1; blaOXA-1; dfrA14; blaCTX-M-15; qnrB1; sul2; sul3; aac(3)-IIe; aac(6')-Ib-cr5; aph(6)-Id
ERR12078572,ERR12078572,1,blaOXA-1; blaOXA-10; cmlA5; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11747320,ERR11747320,1,blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12495482,ERR12495482,1,blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR5751726,ERR5751726,0,blaTEM-1; blaOXA-1; dfrA14; blaCTX-M-15; tet(A); sul2; aac(3)-IIe; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id
ERR6806512,ERR6806512,1,blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA14; dfrA23; blaCTX-M-15; qnrB1; tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9924209,ERR9924209,1,blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA14; dfrA23; blaCTX-M-15; qnrB1; mph(A); tet(A); sul1; sul2; aac(3)-IIe; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-3; qacEdelta1
ERR10460483,ERR10460483,0,blaSCO-1; blaTEM-1; blaOXA-1; dfrA12; blaCTX-M-15; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA2; aph(3'')-Ib; aph(6)-Id; qacEdelta1
ERR9785511,ERR9785511,0,blaSCO-1; blaTEM-1; blaOXA-1; dfrA12; blaCTX-M-15; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA2; aph(3'')-Ib; aph(6)-Id; qacEdelta1
ERR10087012,ERR10087012,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9079768,ERR9079768,0,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9822149,ERR9822149,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9822145,ERR9822145,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; qnrB1; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9822146,ERR9822146,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9785509,ERR9785509,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10176872,ERR10176872,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9966389,ERR9966389,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10460765,ERR10460765,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10109275,ERR10109275,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11807704,ERR11807704,1,blaSCO-1; blaTEM-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10109276,ERR10109276,1,blaSCO-1; blaTEM-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9785510,ERR9785510,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9820422,ERR9820422,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10880181,ERR10880181,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10088101,ERR10088101,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12312688,ERR12312688,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11201827,ERR11201827,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12312689,ERR12312689,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12495485,ERR12495485,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12312692,ERR12312692,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10123168,ERR10123168,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10123167,ERR10123167,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9966387,ERR9966387,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10949310,ERR10949310,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10460875,ERR10460875,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9966390,ERR9966390,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10176866,ERR10176866,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10460687,ERR10460687,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12078573,ERR12078573,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9785512,ERR9785512,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12165616,ERR12165616,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10460887,ERR10460887,0,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10880335,ERR10880335,0,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10880156,ERR10880156,0,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10880377,ERR10880377,0,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10088105,ERR10088105,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12321284,ERR12321284,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; qnrB1; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9966388,ERR9966388,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10026000,ERR10026000,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9822144,ERR9822144,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10088104,ERR10088104,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10088102,ERR10088102,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9822151,ERR9822151,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10109255,ERR10109255,1,blaSCO-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11810274,ERR11810274,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR9966386,ERR9966386,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12259395,ERR12259395,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12091513,ERR12091513,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10125140,ERR10125140,1,blaSCO-1; blaTEM-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10949303,ERR10949303,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10109277,ERR10109277,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10087013,ERR10087013,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12146144,ERR12146144,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11219811,ERR11219811,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11420238,ERR11420238,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11437918,ERR11437918,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR11807709,ERR11807709,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10880183,ERR10880183,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; qnrB1; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10880311,ERR10880311,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA23; blaCTX-M-15; qnrB1; sul1; sul2; aac(6')-Ib-cr5; aadA1; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR10109274,ERR10109274,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
ERR12552381,ERR12552381,1,blaSCO-1; blaTEM-1; blaOXA-1; blaOXA-10; cmlA5; dfrA12; dfrA23; blaCTX-M-15; qnrB1; mph(A); sul1; sul2; aac(3)-IId; aac(6')-Ib-cr5; aadA1; aadA2; aph(3'')-Ib; aph(6)-Id; arr-2; qacEdelta1
