isolate_id,44341_3_304,44341_3_305,44341_3_281,CIV13XE8,44341_3_128,44341_3_131,44341_3_136,CIV13PE7,CIT159B1,CIT15EB1,CIS153C1,CIV147E3,CIT15FH1,CIV143E2,CIU145B1,44341_3_310,CIV13XE2,44341_4_275,CIT15FB1,CIV13XU1,CIV142E6,CIV143U1,CIV143E9,CNS1F3,CAAYSI,CIT15GS1,CIV13RE2,CIV141E6,CIS15HB1,CIV140U1,CIV140E4,CIV140E7,CAAXQV,CIV13UE4,CIS15MR1,CIV13YE6,CIV143E4,CIV13XE5,CIT15GH1,CIV140E1,CIV140E6,CIU13XS1,CIV146E8,CIU149H1,CIV144E6,CIV13VE5,CIV13YE8,CIV144U1,CNSP0U,CNSKFP,CNSLL4,ERR9941258,ERR9929342,ERR9966382,CLL3JA,CNS7YP,BKRRIF,CNS6QU,44341_3_96,44341_3_21,BKRMVD,CAAYDF,CAAXBN,44341_3_165,44341_3_262,44341_3_265,44341_4_286,44341_3_268,44341_3_280,CAAP2A,CNSFP4,CNSDXZ,CAAQXB,CAAR9T,CAAQUT,CAARE3,CLL6CH,ERR10438737,ERR10113269,ERR6752971,ERR5751227,ERR9976609,ERR11219800,ERR12142619,ERR11747325,ERR11502778,ERR7197834,ERR9079758,ERR6806255,ERR6805990,ERR6806776,ERR5750995,ERR6806749,ERR6805998,ERR6806833,ERR12080226,ERR12321283,ERR12321282,ERR12067314,ERR12321281,ERR12142634,ERR6753111,ERR6806796,ERR6806789,ERR9971918,ERR7197741,ERR5751808,ERR12321280,ERR9692774,ERR6752863,SRR9273829,ERR9079830,ERR10880116,ERR5751304,ERR6806714,ERR5751296,ERR4451427,ERR6806125,ERR6806317,ERR12067371,ERR6806075,ERR10176870,ERR10460856,ERR10460902,ERR6806726,ERR12078572,ERR11747320,ERR12495482,ERR5751726,ERR6806512,ERR9924209,ERR10460483,ERR9785511,ERR10087012,ERR9079768,ERR9822149,ERR9822145,ERR9822146,ERR9785509,ERR10176872,ERR9966389,ERR10460765,ERR10109275,ERR11807704,ERR10109276,ERR9785510,ERR9820422,ERR10880181,ERR10088101,ERR12312688,ERR11201827,ERR12312689,ERR12495485,ERR12312692,ERR10123168,ERR10123167,ERR9966387,ERR10949310,ERR10460875,ERR9966390,ERR10176866,ERR10460687,ERR12078573,ERR9785512,ERR12165616,ERR10460887,ERR10880335,ERR10880156,ERR10880377,ERR10088105,ERR12321284,ERR9966388,ERR10026000,ERR9822144,ERR10088104,ERR10088102,ERR9822151,ERR10109255,ERR11810274,ERR9966386,ERR12259395,ERR12091513,ERR10125140,ERR10949303,ERR10109277,ERR10087013,ERR12146144,ERR11219811,ERR11420238,ERR11437918,ERR11807709,ERR10880183,ERR10880311,ERR10109274,ERR12552381,ERR12552377,ERR11896635,ERR9079508,ERR9420153,ERR10117717,ERR6806600,ERR7197757,ERR6806028,ERR9288082,ERR11455881,ERR6806632,ERR4451478,ERR12302226,ERR12552384,ERR12067334,ERR10880424,ERR10123158,ERR10176869,ERR10880230,ERR11453719,ERR10880157,ERR11872767,ERR6752889,ERR9288143,ERR5751308,ERR4399358,ERR4399957,ERR4399362,SRR13833609,SRR13719289,SRR13719614,SRR13313312,SRR13313295,SRR13719196,SRR13277434,SRR13277416,SRR13277412,SRR13311773,SRR13313309,SRR27481822,SRR27481651,SRR27481649,SRR27481520,SRR27481815,SRR7130368,SRR7130370,SRR7130371,SRR13312061,SRR7130369,ERR4400834,ERR4338896,ERR4338560,SRR1106479,ERR3581536,SRR8369293,SRR7842526,SRR8297279,SRR7850690,SRR7884719,SRR8350305,SRR15853458,SRR21224019,SRR20212638,SRR8706049,SRR16227977,ERR4399344,SRR7841631,SRR22691594,SRR16301618,ERR10109287,ERR9680890,SRR14921286,SRR28295566,ERR4145363,ERR4145392,ERR4145410,ERR4145345,SRR8325561,SRR8293522,ERR4145388,ERR4145353,SRR10326268,SRR9627787,SRR27762886,SRR10992537,SRR1646109,SRR7427053,SRR8503644,SRR7457932,SRR2917137,SRR2917139,SRR3137069,SRR6107195,SRR2917138,SRR2917136,SRR5084265,SRR5121494,SRR3001933,SRR5121497,SRR2917140,ERR10368770,ERR160996,SRR5056398,ERR3635287,SRR22175068,SRR21787058,SRR21787324,SRR26858817,SRR27185117,SRR21535455,SRR21535466,SRR26050334,SRR5379276,SRR6457657,SRR14360286,SRR8137438,ERR3635266,SRR1973602,SRR3002514,SRR7467291,ERR4400884,ERR4399363,ERR4401298,ERR4400265,ERR4401598,ERR4401297,ERR4401299,ERR6806710,SRR952929,SRR7292863,SRR1966891,SRR1967735
ERR12552377,146,146,146,147,148,147,96,147,146,146,147,146,146,146,146,147,147,146,147,147,146,144,146,144,146,146,146,146,146,146,142,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,147,161,159,162,151,151,153,148,151,151,151,150,150,145,145,144,150,150,150,150,150,150,143,144,154,140,149,149,148,142,143,145,60,59,120,118,125,136,107,127,120,141,128,125,122,116,115,114,65,114,114,125,95,108,129,133,131,122,130,131,234,241,228,142,128,130,161,125,116,122,109,358,208,227,142,141,141,134,116,116,115,123,117,205,50,64,11,11,13,12,11,14,11,11,11,13,15,15,16,11,17,11,17,14,17,18,18,13,14,13,14,13,13,15,13,14,12,12,14,16,14,14,12,15,11,29,18,18,18,19,20,14,12,12,12,12,14,13,14,13,13,13,14,14,14,22,16,0,0,5,11,18,16,18,12,10,9,17,16,19,22,22,18,17,16,57,50,54,60,62,57,57,78,140,141,99,224,10287,10621,7027,10634,10566,10476,10618,10583,10588,10533,10413,10457,10425,10425,10418,10465,10448,10485,10630,10502,9664,9623,9648,9596,9904,9788,9514,9532,9577,9527,9522,9551,9612,9861,9695,9756,9610,9600,10307,9556,9585,9618,10446,10365,9874,9947,10564,10334,10446,10312,10534,10569,10509,10466,10583,10346,10441,10528,10285,10384,7978,8028,8115,8063,8152,7955,8058,8029,7867,8054,8182,7972,7758,7685,7659,7666,7659,7641,7652,7596,7661,7658,7675,7687,7729,7722,7632,7497,7577,7714,7736,7603,7632,7600,7643,7636,7630,7633,7673,7642,7498,7932,7808
ERR11896635,144,144,144,145,146,145,94,145,144,144,145,144,144,144,144,145,145,144,145,145,144,142,144,143,144,144,144,144,144,144,140,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,145,159,158,160,149,149,151,146,149,149,149,148,148,143,143,143,146,148,148,148,148,148,141,143,152,139,147,147,146,140,141,143,58,57,118,116,123,134,105,125,118,139,126,123,120,114,113,112,63,112,112,123,93,106,127,131,128,120,128,129,232,239,226,140,126,128,159,123,114,120,107,359,206,225,140,139,139,132,114,114,113,121,115,203,95,109,12,13,14,13,10,13,10,10,10,19,14,14,15,10,16,10,16,13,16,17,17,12,13,12,13,12,12,14,12,13,11,11,13,15,13,13,11,14,10,31,17,17,17,18,19,13,12,12,12,12,13,13,14,13,13,13,14,14,13,21,16,5,5,0,10,17,15,17,11,9,8,16,15,18,21,21,17,16,15,55,48,52,58,60,55,55,76,138,139,97,302,10306,10643,7048,10655,10585,10495,10640,10603,10609,10554,10414,10458,10428,10426,10419,10463,10446,10483,10629,10500,9662,9621,9646,9594,9928,9811,9512,9530,9575,9525,9522,9549,9613,9888,9693,9754,9610,9598,10305,9579,9592,9625,10444,10363,9871,9944,10564,10333,10444,10310,10532,10569,10507,10464,10583,10344,10439,10527,10283,10382,8028,8087,8177,8124,8218,8014,8115,8086,7917,8118,8248,8023,7816,7734,7711,7722,7711,7688,7708,7647,7716,7711,7734,7754,7792,7780,7684,7549,7633,7775,7794,7661,7685,7660,7701,7695,7685,7690,7722,7699,7552,7986,7861
ERR9079508,142,142,142,143,144,143,92,143,142,142,143,142,142,142,142,143,143,142,143,143,142,140,142,140,142,142,142,142,142,142,138,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,143,156,154,157,146,146,148,144,147,147,147,146,146,141,141,140,146,146,146,146,146,146,139,140,150,136,145,145,144,138,138,135,57,56,116,115,122,133,104,124,117,138,125,122,119,113,112,111,62,111,111,122,92,105,120,124,128,119,126,127,122,120,115,137,119,121,158,122,112,118,105,327,173,223,139,138,138,131,113,113,112,120,114,203,68,81,6,6,8,7,6,9,6,6,6,12,10,10,11,6,13,6,12,9,12,13,13,8,9,8,8,8,8,10,8,9,7,7,9,11,9,9,7,12,6,24,13,13,13,14,15,9,7,7,7,7,9,8,9,8,8,8,9,9,9,17,11,11,11,10,0,16,13,15,9,8,6,15,13,16,19,19,16,14,13,54,47,51,57,59,54,55,75,137,137,96,299,10194,10485,6866,10474,10434,10385,10464,10459,10427,10377,10288,10327,10297,10283,10293,10403,10387,10423,10567,10446,9658,9617,9643,9590,9751,9671,9509,9527,9572,9519,9517,9546,9576,9683,9547,9612,9595,9580,9593,9574,9551,9584,10383,10358,9871,9944,10561,10328,10369,10245,10442,10476,10429,10395,10576,10340,10363,10522,10280,10378,8026,8084,8175,8122,8215,8012,8113,8081,7915,8116,8245,8023,7673,7599,7657,7716,7708,7685,7705,7644,7713,7708,7728,7748,7786,7774,7681,7545,7630,7720,7788,7656,7680,7655,7696,7689,7675,7681,7629,7693,7549,7983,7859
ERR9420153,84,84,84,86,86,85,84,86,85,85,85,85,85,85,85,85,86,84,86,86,87,85,85,83,85,85,85,84,85,85,85,85,85,85,85,85,84,85,85,85,85,85,85,85,85,85,85,86,100,98,103,90,89,91,87,90,90,90,88,88,84,84,83,88,88,88,88,88,88,82,83,92,81,88,88,87,81,81,83,62,62,71,59,65,77,71,67,69,80,68,68,67,69,68,67,68,67,67,68,81,79,75,75,71,68,70,70,187,194,180,79,73,68,100,63,61,61,62,348,151,166,82,81,81,74,68,69,68,71,70,158,101,113,18,19,19,18,15,19,16,16,15,25,19,19,21,16,21,15,21,18,21,23,22,18,18,18,19,18,18,19,18,19,17,16,18,20,18,18,17,19,16,37,22,23,22,24,24,18,18,18,17,17,19,19,19,18,19,18,20,20,18,26,20,18,18,17,16,0,2,4,14,12,11,19,18,21,24,24,20,19,18,52,51,56,52,53,46,50,44,92,93,65,306,10311,10645,7050,10657,10590,10500,10642,10608,10611,10556,10418,10462,10429,10430,10423,10467,10450,10487,10633,10504,9666,9625,9650,9598,9932,9815,9516,9534,9579,9529,9524,9553,9617,9889,9697,9758,9611,9602,10309,9583,9594,9627,10450,10366,9876,9949,10567,10336,10448,10314,10536,10570,10511,10468,10584,10348,10443,10530,10287,10386,8029,8088,8178,8125,8219,8016,8119,8087,7918,8119,8249,8027,7815,7733,7715,7722,7714,7691,7711,7650,7719,7714,7734,7754,7791,7779,7686,7550,7635,7774,7793,7629,7653,7628,7669,7663,7651,7656,7721,7698,7554,7988,7863
ERR10117717,80,80,80,81,82,81,80,81,80,80,81,80,80,80,80,81,81,80,81,81,82,80,80,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,95,94,98,85,85,87,82,85,85,85,84,84,79,79,79,84,84,84,84,84,84,77,79,88,77,83,83,82,77,78,79,59,58,67,55,62,73,68,63,65,76,64,64,64,65,64,63,64,63,63,64,77,76,71,72,67,64,66,67,183,190,177,76,69,65,96,60,58,58,58,346,147,162,78,77,77,70,65,65,64,67,66,154,98,110,15,16,17,16,13,16,13,13,13,22,17,17,18,13,19,13,19,16,19,20,20,15,16,15,16,15,15,17,15,17,14,14,16,18,16,16,14,17,13,34,20,20,20,21,22,16,15,15,15,15,16,16,17,16,16,16,17,17,16,24,18,16,16,15,13,2,0,2,12,10,9,17,16,19,22,22,18,17,16,48,47,52,49,49,43,46,41,89,90,62,303,10308,10643,7048,10655,10587,10497,10640,10605,10609,10554,10415,10459,10427,10427,10420,10464,10447,10484,10630,10501,9663,9622,9647,9595,9929,9812,9513,9531,9576,9526,9521,9550,9614,9887,9694,9755,9609,9599,10306,9580,9592,9625,10447,10363,9873,9946,10565,10334,10445,10311,10533,10568,10508,10465,10582,10345,10440,10527,10284,10383,8024,8083,8173,8120,8214,8011,8113,8082,7913,8114,8244,8021,7810,7728,7712,7717,7708,7685,7705,7644,7713,7708,7729,7749,7786,7774,7680,7545,7629,7769,7788,7623,7647,7622,7663,7657,7645,7650,7716,7693,7548,7982,7857
ERR6806600,82,82,82,83,84,83,82,83,82,82,83,82,82,82,82,83,83,82,83,83,84,82,82,80,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,97,95,100,87,87,89,84,87,87,87,86,86,81,81,80,86,86,86,86,86,86,79,80,90,78,85,85,84,79,80,82,61,60,69,57,64,75,70,65,67,78,66,66,66,67,66,65,66,65,65,66,79,78,73,74,69,66,68,69,185,192,179,78,71,67,98,62,60,60,60,348,149,164,80,79,79,72,66,67,66,69,68,156,100,113,17,18,19,18,15,18,15,15,15,24,19,19,20,15,21,15,21,18,21,22,22,17,18,17,18,17,17,19,17,19,16,16,18,20,18,18,16,19,15,36,22,22,22,23,24,18,17,17,17,17,18,18,19,18,18,18,19,19,18,26,20,18,18,17,15,4,2,0,14,12,11,19,18,21,24,24,20,19,18,51,50,55,52,52,46,49,44,91,92,64,305,10309,10643,7049,10655,10588,10498,10640,10606,10609,10554,10416,10460,10427,10428,10421,10465,10448,10485,10631,10502,9664,9623,9648,9596,9930,9813,9514,9532,9577,9527,9522,9551,9615,9887,9695,9756,9609,9600,10307,9581,9592,9625,10448,10365,9874,9947,10565,10334,10446,10312,10534,10568,10509,10466,10582,10346,10441,10529,10286,10384,8025,8084,8174,8121,8215,8012,8115,8083,7914,8115,8245,8023,7811,7729,7712,7718,7711,7688,7708,7647,7716,7711,7731,7750,7787,7775,7682,7546,7631,7770,7789,7625,7649,7624,7665,7659,7647,7652,7717,7694,7550,7984,7859
ERR7197757,74,74,74,75,76,75,74,75,74,74,75,74,74,74,74,75,75,74,75,75,76,74,74,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,88,87,91,79,79,81,76,79,79,79,78,78,73,73,73,78,78,78,78,78,78,71,73,82,72,77,77,76,71,71,75,53,52,61,49,56,67,62,57,59,70,58,58,58,59,58,57,57,57,57,58,71,70,65,66,61,58,60,61,177,184,171,70,62,59,91,53,52,52,52,340,142,156,72,71,71,64,60,60,59,61,60,149,94,108,11,12,13,12,9,12,9,9,9,18,12,12,14,9,16,9,15,12,15,16,16,11,12,11,12,11,11,13,11,13,10,10,12,14,12,12,10,13,9,30,16,16,16,17,18,12,11,11,11,10,12,12,13,12,12,12,13,13,12,20,15,12,12,11,9,14,12,14,0,1,3,11,9,13,16,16,12,11,10,42,41,46,43,43,37,41,34,82,83,55,296,10301,10636,7041,10648,10580,10490,10633,10598,10602,10547,10408,10452,10420,10420,10413,10459,10441,10479,10625,10495,9656,9615,9641,9588,9923,9806,9507,9525,9570,9520,9515,9544,9608,9881,9687,9748,9603,9593,10299,9574,9585,9618,10440,10357,9867,9940,10557,10327,10438,10304,10526,10561,10501,10458,10575,10338,10433,10521,10278,10376,8016,8076,8165,8113,8206,8002,8105,8074,7905,8107,8236,8014,7803,7721,7705,7710,7701,7678,7698,7637,7706,7701,7722,7742,7779,7767,7673,7538,7622,7762,7781,7616,7640,7615,7656,7650,7638,7643,7709,7686,7541,7975,7850
ERR6806028,76,76,76,78,78,77,76,78,77,77,77,77,77,77,77,77,78,76,78,78,79,77,77,75,77,77,77,76,77,77,77,77,77,77,77,77,76,77,77,77,77,77,77,77,77,77,77,78,92,90,95,82,81,83,79,82,82,82,80,80,76,76,75,80,80,80,80,80,80,73,76,84,74,80,79,78,74,71,73,53,53,61,49,55,67,61,57,59,70,58,58,57,59,58,57,58,57,57,58,71,69,65,65,61,58,60,60,177,184,170,70,63,58,91,53,51,51,52,340,142,156,71,71,71,64,59,60,59,61,60,149,93,106,10,11,11,10,7,11,8,8,7,17,11,11,13,8,14,7,13,10,13,15,14,10,10,10,11,10,10,10,9,11,9,8,10,12,10,10,9,11,8,28,14,15,14,16,16,10,10,10,9,9,11,10,10,10,11,10,12,12,10,18,13,10,10,9,8,12,10,12,1,0,1,9,8,11,14,14,10,9,8,42,41,46,42,43,36,41,34,82,83,55,296,10301,10634,7039,10646,10580,10490,10631,10598,10600,10545,10408,10452,10418,10420,10413,10459,10441,10479,10624,10495,9656,9615,9641,9588,9923,9806,9507,9525,9570,9520,9514,9544,9608,9880,9687,9748,9601,9593,10299,9574,9583,9616,10440,10357,9867,9940,10556,10325,10438,10304,10526,10559,10501,10458,10573,10338,10433,10521,10278,10376,8020,8079,8169,8116,8210,8006,8112,8078,7910,8110,8240,8020,7806,7723,7705,7714,7707,7684,7704,7643,7712,7707,7726,7745,7782,7770,7678,7542,7627,7764,7784,7619,7643,7618,7659,7653,7643,7648,7712,7689,7546,7980,7855
ERR9288082,72,72,72,73,74,73,72,73,72,72,73,72,72,72,72,73,73,72,73,73,74,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,87,86,90,77,77,79,74,77,77,77,76,76,71,71,71,76,76,76,76,76,76,69,72,80,70,75,75,74,69,69,70,50,49,58,46,53,64,59,54,56,67,55,55,55,56,55,54,55,54,54,55,68,67,62,63,58,55,57,58,174,181,168,68,60,56,88,51,49,49,49,337,139,153,69,68,68,61,57,57,56,58,57,146,91,103,8,9,10,9,6,9,6,6,6,15,10,10,11,6,13,6,12,9,12,13,13,8,9,8,9,8,8,10,8,10,7,7,9,11,9,9,7,10,6,27,13,13,13,14,15,9,8,8,8,8,9,9,10,9,9,9,10,10,9,17,12,9,9,8,6,11,9,11,3,1,0,8,7,10,13,13,9,8,7,39,38,43,40,40,34,38,32,80,81,53,294,10299,10632,7037,10644,10578,10488,10629,10596,10598,10543,10406,10450,10416,10418,10411,10456,10439,10476,10622,10493,9654,9613,9639,9586,9921,9804,9505,9523,9568,9518,9512,9542,9606,9877,9685,9746,9599,9591,10297,9572,9581,9614,10437,10354,9864,9937,10553,10322,10436,10302,10524,10557,10499,10456,10571,10336,10431,10518,10276,10374,8012,8071,8161,8108,8202,7999,8103,8070,7901,8102,8232,8011,7799,7717,7703,7706,7699,7676,7696,7635,7704,7699,7718,7738,7775,7763,7671,7536,7620,7758,7777,7614,7638,7613,7654,7648,7636,7641,7705,7682,7539,7973,7848
ERR11455881,83,83,83,85,85,84,83,85,84,84,85,84,84,84,84,84,85,83,85,85,86,84,84,80,83,84,84,83,84,84,84,84,84,84,84,84,83,84,84,84,84,84,84,84,84,84,84,85,99,96,99,89,89,90,86,89,89,89,87,87,83,83,81,87,86,86,86,86,86,80,83,92,80,87,86,85,81,81,81,61,61,67,56,64,74,69,65,67,78,66,66,65,67,65,65,66,65,65,65,79,78,73,73,68,66,68,68,185,192,178,78,70,66,99,62,59,59,60,347,148,163,80,79,79,72,67,67,67,69,68,157,100,112,17,18,19,17,14,18,14,14,14,24,19,18,19,14,21,15,21,17,20,21,21,16,17,17,17,16,16,18,16,18,15,15,17,19,17,17,15,18,15,36,21,22,22,23,23,17,17,16,17,16,17,18,18,17,18,18,18,19,17,25,21,17,17,16,15,19,17,19,11,9,8,0,15,18,21,21,17,16,15,50,48,53,51,49,44,48,42,90,91,63,304,10309,10643,7048,10655,10588,10498,10640,10606,10609,10554,10416,10460,10427,10428,10421,10466,10448,10485,10631,10503,9664,9623,9649,9596,9931,9814,9515,9533,9578,9528,9523,9552,9615,9889,9695,9756,9610,9601,10307,9582,9592,9625,10448,10364,9874,9947,10564,10333,10445,10311,10533,10567,10508,10465,10581,10345,10441,10527,10285,10384,8030,8089,8179,8126,8220,8015,8119,8087,7920,8120,8250,8029,7816,7733,7714,7723,7715,7692,7712,7651,7720,7715,7735,7754,7792,7780,7687,7550,7636,7774,7794,7628,7652,7627,7668,7661,7652,7657,7722,7699,7555,7989,7864
ERR6806632,77,77,77,78,79,78,77,78,77,77,78,77,77,77,77,78,78,77,78,78,79,77,77,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,92,91,95,82,82,84,79,82,82,82,81,81,76,76,76,81,81,81,81,81,81,74,77,85,75,80,80,79,74,74,76,55,54,63,51,58,69,64,59,61,72,60,60,60,61,60,59,60,59,59,60,73,72,67,68,63,60,62,63,179,186,173,73,64,61,93,56,54,54,54,344,144,158,74,73,73,66,62,62,61,63,62,151,98,111,15,16,17,16,13,16,13,13,13,22,17,17,18,13,20,13,19,16,19,20,20,15,16,15,16,15,15,17,15,17,14,14,16,18,16,16,14,17,13,34,20,20,20,21,22,16,15,15,15,15,16,16,17,16,16,16,17,17,16,24,19,16,16,15,13,18,16,18,9,8,7,15,0,15,18,18,14,13,12,44,43,48,45,45,39,43,37,80,81,58,299,10303,10639,7044,10651,10582,10492,10636,10600,10605,10550,10410,10454,10423,10422,10415,10460,10443,10480,10626,10497,9658,9617,9643,9590,9925,9808,9509,9527,9572,9522,9518,9546,9610,9884,9689,9750,9606,9595,10301,9576,9588,9621,10442,10358,9868,9942,10561,10330,10440,10306,10528,10564,10503,10460,10578,10340,10435,10523,10280,10378,8020,8079,8169,8116,8210,8007,8108,8078,7909,8110,8240,8016,7806,7724,7705,7713,7704,7681,7701,7640,7709,7704,7726,7745,7782,7770,7675,7540,7624,7765,7784,7618,7642,7617,7658,7652,7640,7645,7712,7689,7543,7977,7852
ERR4451478,88,88,88,89,90,89,88,89,88,88,89,88,88,88,88,89,89,88,89,89,90,88,88,85,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,87,88,83,88,88,89,103,101,105,93,93,95,90,93,93,93,92,92,87,87,86,92,92,92,92,92,92,85,87,96,84,91,91,90,85,85,88,60,59,74,62,69,80,75,70,72,83,71,71,71,72,65,64,71,70,70,71,84,83,78,79,74,71,73,74,184,191,178,84,76,72,104,67,65,65,65,353,154,168,84,83,83,76,66,66,65,73,72,155,101,115,18,19,20,19,16,19,16,16,16,25,20,20,21,16,23,16,22,19,22,23,23,18,19,18,19,18,18,20,18,20,17,17,19,21,19,19,17,20,16,37,23,23,23,24,25,19,18,18,18,18,19,19,20,19,19,19,20,20,19,27,22,19,19,18,16,21,19,21,13,11,10,18,15,0,19,19,15,14,13,55,54,59,56,56,50,54,42,90,91,63,302,10306,10641,7045,10653,10587,10497,10638,10605,10607,10552,10414,10458,10424,10426,10420,10464,10446,10484,10630,10502,9662,9621,9647,9595,9929,9812,9514,9532,9576,9526,9521,9550,9613,9886,9693,9754,9607,9600,10306,9580,9590,9623,10445,10363,9873,9945,10561,10331,10445,10311,10532,10565,10508,10464,10580,10345,10439,10527,10284,10383,8024,8083,8172,8120,8213,8008,8114,8081,7914,8112,8243,8025,7814,7730,7713,7719,7712,7689,7708,7649,7717,7712,7731,7750,7788,7778,7686,7550,7635,7771,7790,7627,7651,7626,7667,7660,7651,7656,7720,7697,7554,7988,7863
ERR12302226,83,83,83,84,85,84,83,84,83,83,84,83,83,83,83,84,84,83,84,84,85,83,83,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,98,97,100,88,88,90,85,88,88,88,87,87,82,82,82,87,87,87,87,87,87,80,82,91,81,86,86,85,79,80,81,61,60,69,57,64,75,70,65,67,78,66,66,66,67,66,65,66,65,65,66,79,78,73,74,69,66,68,69,185,192,179,79,71,67,99,62,60,60,60,348,150,164,80,79,79,72,68,68,67,69,68,157,104,116,21,22,23,22,19,22,19,19,19,28,23,23,24,19,26,19,25,22,25,26,26,21,22,21,22,21,21,23,21,23,20,20,22,24,22,22,20,23,19,40,26,26,26,27,28,22,21,21,21,21,22,22,23,22,22,22,23,23,22,30,25,22,22,21,19,24,22,24,16,14,13,21,18,19,0,2,4,5,6,50,49,54,51,51,45,49,43,91,92,64,305,10310,10643,7048,10655,10589,10499,10640,10607,10609,10554,10417,10461,10427,10429,10422,10467,10450,10487,10633,10504,9665,9624,9650,9597,9931,9814,9516,9534,9579,9529,9523,9553,9617,9888,9696,9757,9610,9602,10308,9583,9592,9625,10449,10365,9875,9948,10565,10334,10447,10313,10534,10568,10510,10467,10582,10347,10442,10529,10287,10385,8030,8089,8179,8126,8220,8016,8121,8088,7919,8120,8250,8029,7816,7734,7715,7722,7715,7692,7712,7651,7720,7715,7734,7754,7792,7780,7688,7553,7637,7775,7794,7629,7653,7628,7669,7663,7653,7658,7722,7699,7556,7990,7865
ERR12552384,85,85,85,86,87,86,85,86,85,85,86,85,85,85,85,86,86,85,86,86,87,85,85,83,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,100,98,102,90,90,92,87,90,90,90,89,89,84,84,83,89,89,89,89,89,89,81,83,93,82,88,87,86,81,82,82,63,62,70,58,65,76,71,66,68,79,67,67,67,68,67,66,67,66,66,67,80,79,74,75,70,67,69,70,186,193,180,80,72,68,100,63,61,61,61,350,151,165,81,80,80,73,69,69,68,70,69,158,104,116,21,22,23,22,19,22,19,19,19,28,23,23,24,19,26,19,25,22,25,26,26,21,22,21,22,21,21,23,21,23,20,20,22,24,22,22,20,23,19,40,26,26,26,27,28,22,21,21,21,21,22,22,23,22,22,22,23,23,22,30,25,22,22,21,19,24,22,24,16,14,13,21,18,19,2,0,4,5,6,51,50,55,52,52,46,50,44,92,93,65,306,10311,10648,7053,10660,10590,10500,10645,10608,10614,10559,10418,10462,10432,10430,10423,10468,10451,10488,10633,10505,9666,9625,9651,9598,9932,9815,9517,9535,9580,9530,9527,9554,9618,9894,9697,9758,9615,9603,10309,9584,9597,9630,10450,10367,9876,9950,10570,10339,10448,10314,10535,10573,10511,10468,10587,10348,10443,10530,10288,10386,8035,8094,8184,8131,8225,8021,8123,8093,7925,8125,8255,8031,7821,7738,7716,7728,7717,7694,7714,7653,7722,7717,7740,7759,7797,7785,7689,7553,7638,7779,7799,7630,7654,7629,7670,7664,7654,7659,7727,7704,7557,7991,7866
ERR12067334,79,79,79,81,81,80,79,81,80,80,81,80,80,80,80,80,81,79,81,81,82,80,80,79,80,80,80,79,80,80,80,80,80,80,80,80,79,80,80,80,80,80,80,80,80,80,80,81,95,94,98,85,85,86,82,85,85,85,83,83,79,79,79,83,83,83,83,83,83,77,79,88,78,83,83,82,76,77,80,57,57,65,53,61,71,66,62,64,75,63,63,62,64,62,62,63,62,62,62,76,75,70,70,65,63,65,65,182,189,175,75,67,63,96,59,56,56,57,346,146,161,77,76,76,69,64,64,64,66,65,154,101,115,18,19,20,18,15,19,15,15,15,25,20,19,20,15,22,16,22,18,21,22,22,17,18,18,18,17,17,19,17,19,16,16,18,20,18,18,16,19,16,37,22,23,23,24,24,18,18,17,18,17,18,19,19,18,19,19,19,20,18,26,22,18,18,17,16,20,18,20,12,10,9,17,14,15,4,4,0,1,2,47,45,50,48,47,41,45,39,87,88,60,301,10306,10641,7046,10653,10585,10495,10638,10603,10607,10552,10413,10457,10425,10425,10418,10463,10446,10483,10629,10500,9661,9620,9646,9593,9927,9810,9512,9530,9575,9525,9520,9549,9613,9886,9692,9753,9608,9598,10304,9579,9590,9623,10445,10362,9871,9945,10563,10332,10443,10309,10530,10566,10506,10463,10580,10343,10438,10526,10283,10381,8028,8087,8177,8124,8218,8015,8117,8086,7917,8118,8248,8025,7814,7732,7711,7720,7711,7688,7708,7647,7716,7711,7732,7752,7790,7778,7684,7549,7633,7773,7792,7625,7649,7624,7665,7659,7649,7654,7720,7697,7552,7986,7861
