isolate_id	source_isolate_id	run_accession	sample_accession	sequence_type	in_CC25_tree	in_ST335_tree	CC25_order	ST335_order	CC25_panel	ST335_panel	phenotyped_Kenneth
SRR22691594	SRR22691594	SRR22691594	SRS16098242	216	1	0	263		CC25-09	Other	0
SRR16301618	SRR16301618	SRR16301618	SRS10536204	216	1	0	264		CC25-09	Other	0
ERR10109287	ERR10109287	ERR10109287	ERS12792520	216	1	0	265		CC25-09	Other	0
ERR9680890	ERR9680890	ERR9680890	ERS11915228	216	1	0	266		CC25-09	Other	0
SRR14921286	SRR14921286	SRR14921286	SRS9280452	216	1	0	267		CC25-10	Other	0
SRR28295566	SRR28295566	SRR28295566	SRS20726766	216	1	0	268		CC25-10	Other	0
ERR4145363	ERR4145363	ERR4145363	ERS4396976	216	1	0	269		CC25-10	Other	0
ERR4145392	ERR4145392	ERR4145392	ERS4397008	216	1	0	270		CC25-10	Other	0
ERR4145410	ERR4145410	ERR4145410	ERS4397023	216	1	0	271		CC25-10	Other	0
ERR4145345	ERR4145345	ERR4145345	ERS4396958	216	1	0	272		CC25-10	Other	0
SRR8325561	SRR8325561	SRR8325561	SRS4149673	216	1	0	273		CC25-10	Other	0
SRR8293522	SRR8293522	SRR8293522	SRS4117556	216	1	0	274		CC25-10	Other	0
ERR4145388	ERR4145388	ERR4145388	ERS4397004	216	1	0	275		CC25-10	Other	0
ERR4145353	ERR4145353	ERR4145353	ERS4396966	216	1	0	276		CC25-10	Other	0
SRR10326268	SRR10326268	SRR10326268	SRS5556410	216	1	0	277		CC25-10	Other	0
SRR9627787	SRR9627787	SRR9627787	SRS5049327	216	1	0	278		CC25-10	Other	0
SRR27762886	SRR27762886	SRR27762886	SRS20282324	216	1	0	279		CC25-10	Other	0
SRR10992537	SRR10992537	SRR10992537	SRS6083279	216	1	0	280		CC25-10	Other	0
SRR1646109	SRR1646109	SRR1646109	SRS740757	216	1	0	281		CC25-10	Other	0
SRR7427053	SRR7427053	SRR7427053	SRS3460827	216	1	0	282		CC25-10	Other	0
SRR8503644	SRR8503644	SRR8503644	SRS4305031	216	1	0	283		CC25-10	Other	0
SRR7457932	SRR7457932	SRR7457932	SRS3490531	5028	1	0	284		CC25-10	Other	0
SRR2917137	SRR2917137	SRR2917137	SRS1163111	216	1	0	285		CC25-11	Other	0
SRR2917139	SRR2917139	SRR2917139	SRS1163371	216	1	0	286		CC25-11	Other	0
SRR3137069	SRR3137069	SRR3137069	SRS1271326	216	1	0	287		CC25-11	Other	0
SRR6107195	SRR6107195	SRR6107195	SRS2546827	216	1	0	288		CC25-11	Other	0
SRR2917138	SRR2917138	SRR2917138	SRS1163368	216	1	0	289		CC25-11	Other	0
SRR2917136	SRR2917136	SRR2917136	SRS1163110	216	1	0	290		CC25-11	Other	0
SRR5084265	SRR5084265	SRR5084265	SRS1841914	216	1	0	291		CC25-11	Other	0
SRR5121494	SRR5121494	SRR5121494	SRS1871658	216	1	0	292		CC25-11	Other	0
SRR3001933	SRR3001933	SRR3001933	SRS1207317	216	1	0	293		CC25-11	Other	0
SRR5121497	SRR5121497	SRR5121497	SRS1871661	216	1	0	294		CC25-11	Other	0
SRR2917140	SRR2917140	SRR2917140	SRS1163372	216	1	0	295		CC25-11	Other	0
ERR10368770	ERR10368770	ERR10368770	ERS13570760	216	1	0	296		CC25-11	Other	0
ERR160996	ERR160996	ERR160996	ERS106247	216	1	0	297		CC25-11	Other	0
SRR5056398	SRR5056398	SRR5056398	SRS1819954	216	1	0	298		CC25-11	Other	0
ERR3635287	ERR3635287	ERR3635287	ERS3943502	216	1	0	299		CC25-11	Other	0
SRR22175068	SRR22175068	SRR22175068	SRS15655135	216	1	0	300		CC25-11	Other	0
SRR21787058	SRR21787058	SRR21787058	SRS15307356	216	1	0	301		CC25-11	Other	0
SRR21787324	SRR21787324	SRR21787324	SRS15307594	216	1	0	302		CC25-11	Other	0
SRR26858817	SRR26858817	SRR26858817	SRS19562298	216	1	0	303		CC25-11	Other	0
SRR27185117	SRR27185117	SRR27185117	SRS19839564	216	1	0	304		CC25-11	Other	0
SRR21535455	SRR21535455	SRR21535455	SRS15086134	216	1	0	305		CC25-11	Other	0
SRR21535466	SRR21535466	SRR21535466	SRS15086139	216	1	0	306		CC25-11	Other	0
SRR26050334	SRR26050334	SRR26050334	SRS18873009	216	1	0	307		CC25-12	Other	0
SRR5379276	SRR5379276	SRR5379276	SRS2073636	216	1	0	308		CC25-12	Other	0
SRR6457657	SRR6457657	SRR6457657	SRS2822385	216	1	0	309		CC25-12	Other	0
SRR14360286	SRR14360286	SRR14360286	SRS8802471	216	1	0	310		CC25-12	Other	0
SRR8137438	SRR8137438	SRR8137438	SRS3998326	216	1	0	311		CC25-12	Other	0
ERR3635266	ERR3635266	ERR3635266	ERS3943481	216	1	0	312		CC25-12	Other	0
SRR1973602	SRR1973602	SRR1973602	SRS909371	216	1	0	313		CC25-12	Other	0
SRR3002514	SRR3002514	SRR3002514	SRS1207369	216	1	0	314		CC25-12	Other	0
SRR7467291	SRR7467291	SRR7467291	SRS3498154	216	1	0	315		CC25-12	Other	0
ERR4400884	ERR4400884	ERR4400884	ERS4874923	216	1	0	316		CC25-12	Other	0
ERR4399363	ERR4399363	ERR4399363	ERS4873402	216	1	0	317		CC25-12	Other	0
ERR4401298	ERR4401298	ERR4401298	ERS4875337	216	1	0	318		CC25-12	Other	0
ERR4400265	ERR4400265	ERR4400265	ERS4874304	216	1	0	319		CC25-12	Other	0
ERR4401598	ERR4401598	ERR4401598	ERS4875637	216	1	0	320		CC25-12	Other	0
ERR4401297	ERR4401297	ERR4401297	ERS4875336	216	1	0	321		CC25-12	Other	0
ERR4401299	ERR4401299	ERR4401299	ERS4875338	216	1	0	322		CC25-12	Other	0
ERR6806710	ERR6806710	ERR6806710	ERS7645431	216	1	0	323		CC25-12	Other	0
SRR952929	SRR952929	SRR952929	SRS470636	216	1	0	324		CC25-12	Other	0
SRR7292863	SRR7292863	SRR7292863	SRS3406279	216	1	0	325		CC25-12	Other	0
SRR1966891	SRR1966891	SRR1966891	SRS903511	216	1	0	326		CC25-12	Other	0
SRR1967735	SRR1967735	SRR1967735	SRS904472	216	1	0	327		CC25-12	Other	0
BKRRJK	BKRRJK_S5_L001	ERR16714671	ERS29128476	Other	0	0			Other	Other	0
CAAQIG	CAAQIG_S25_L001	ERR16714673	ERS29128478	Other	0	0			Other	Other	0
CAAS99	CAAS99_S6_L001	ERR16714678	ERS29128483	Other	0	0			Other	Other	0
CAAYM5	CAAYM5_S24_L001	ERR16714682	ERS29128487	Other	0	0			Other	Other	0
CNS4NS	CNS4NS_S4_L001	ERR16714724	ERS29128529	Other	0	0			Other	Other	0
CNSNZ2	CNSNZ2_S22_L001	ERR16714731	ERS29128536	Other	0	0			Other	Other	0
ERR4401589	ERR4401589	ERR4401589	ERS4875628	1994	0	0			Other	Other	0
SRR1106363	SRR1106363	SRR1106363	SRS528822	3390	0	0			Other	Other	0
SRR1643104	SRR1643104	SRR1643104	SRS738464	1994	0	0			Other	Other	0
SRR1810522	SRR1810522	SRR1810522	SRS850547	1994	0	0			Other	Other	0
SRR2173991	SRR2173991	SRR2173991	SRS1039483	1994	0	0			Other	Other	0
SRR26463587	SRR26463587	SRR26463587	SRS19225269	1994	0	0			Other	Other	0
SRR2961321	SRR2961321	SRR2961321	SRS1180329	1994	0	0			Other	Other	0
SRR3322715	SRR3322715	SRR3322715	SRS1371900	1994	0	0			Other	Other	0
SRR5799674	SRR5799674	SRR5799674	SRS2333035	1994	0	0			Other	Other	0
SRR6684992	SRR6684992	SRR6684992	SRS2924811	1994	0	0			Other	Other	0
SRR6685117	SRR6685117	SRR6685117	SRS2924685	1994	0	0			Other	Other	0
SRR7292689	SRR7292689	SRR7292689	SRS3406154	1994	0	0			Other	Other	0
